,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.045,"555,000,000",0.076,"657,000,000",0.134,"746,000,000",0.318,"786,000,000",0.616,"811,000,000",1.236,"809,000,000",3.171,"788,000,000",6.862,"728,000,000",14.317,"698,000,000",39.802,"628,000,000",,,,
"Amazon Web Services [c5d.large]",0.472,"52,900,000",1.026,"48,700,000",2.281,"43,800,000",6.629,"37,700,000",14.327,"34,800,000",210.170,"4,750,000",,,,,,,,,,,,
"Amazon Web Services [i3en.large]",0.416,"60,000,000",0.910,"54,900,000",2.023,"49,400,000",5.960,"41,900,000",12.882,"38,800,000",27.796,"35,900,000",73.012,"34,200,000",,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.060,"416,000,000",0.107,"467,000,000",0.194,"515,000,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.479,"52,100,000",1.032,"48,400,000",2.236,"44,700,000",6.095,"41,000,000",13.408,"37,200,000",29.339,"34,000,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.033,"757,000,000",0.062,"806,000,000",0.107,"934,000,000",0.260,"961,000,000",0.465,"1,070,000,000",0.886,"1,120,000,000",2.251,"1,110,000,000",4.914,"1,010,000,000",10.448,"957,000,000",29.978,"833,000,000",64.201,"778,000,000",135.708,"736,000,000"
"Amazon Web Services [m6i.large]",0.373,"67,000,000",0.810,"61,700,000",1.830,"54,600,000",5.124,"48,700,000",11.024,"45,300,000",23.714,"42,100,000",,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.049,"510,000,000",0.079,"632,000,000",0.138,"724,000,000",0.331,"755,000,000",0.634,"788,000,000",1.264,"791,000,000",3.334,"749,000,000",6.982,"716,000,000",14.822,"674,000,000",40.389,"618,000,000",88.781,"563,000,000",187.965,"532,000,000"
"Amazon Web Services [t3.small]",0.554,"45,100,000",1.204,"41,500,000",2.704,"36,900,000",7.726,"32,300,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.622,"40,100,000",1.386,"36,000,000",3.034,"32,900,000",8.336,"29,900,000",17.911,"27,900,000",39.143,"25,500,000",168.332,"14,800,000",464.057,"10,700,000",1085.781,"9,200,000",3105.707,"8,040,000",6681.823,"7,480,000",,
"Google Cloud Platform [n2d-standard-224]",0.077,"324,000,000",0.130,"384,000,000",0.216,"462,000,000",0.449,"556,000,000",0.698,"716,000,000",1.173,"852,000,000",2.676,"934,000,000",5.187,"963,000,000",10.351,"966,000,000",27.408,"912,000,000",58.158,"859,000,000",139.935,"714,000,000"
